clientId,INC,ApnaDal,SP,RLD,BJP,BSP
94d7000e-be54-4e4b-9490-df63f5b2bc0f,Very far,Very far,Very far,Very far,Very inclined,Very far
bd13efd6-0527-47c9-8f56-829016e3a148,Inclined,Very far,Inclined,Very far,Very inclined,Very far
f6e2a422-7fb6-4499-8ab9-4c9b10cd685b,Very far,Very far,Very far,Very far,Very inclined,Very far
025779de-ad0b-479a-b566-9ac60debb7b3,Very far,Very far,Inclined,Very far,Inclined,Very far
e4801a55-ea16-44cb-b0c7-e65ab0b95111,Very far,Very far,Very far,Very far,Very inclined,Very far
7377fb91-549f-4ee1-82a3-0edf04661581,Inclined,Inclined,Inclined,Inclined,Inclined,Inclined
45538c88-397b-46e8-aa5b-b185a8664b5e,Very far,Very far,Very far,Very far,Very inclined,Very far
0c94feb7-6acc-4f61-afb2-26d5640d998f,Very far,Very far,Inclined,Very far,Inclined,Very far
3586bd58-e143-4ca0-a146-4c4393f66cd5,Very inclined,Very far,Very far,Very far,Very inclined,Very far
1a7ce7fb-fb1b-4d4b-b718-96faa2686e31,Very far,Very far,Very far,Very far,Very inclined,Very far
ae10351d-1531-408d-9957-371413e3f376,Very far,Very far,Very inclined,Very far,Very far,Very far
0219a75f-f6fd-46a3-9e66-c695d002f7aa,Very far,Very far,Very far,Very far,Inclined,Very far
ccc8c085-24c6-41a5-9405-3f33c15ea4b8,Very far,Very far,Very far,Very far,Very inclined,Very far
89fab362-2884-4216-b1bb-404ae09b1dbe,Very far,Very far,Very far,Very far,Far,Far
c3acb7e4-cccc-4da3-9a16-37b92b1bf2d3,Very far,Very inclined,Far,Very inclined,Inclined,Far
b62beeb1-c2c0-42c9-a378-eae8f9ee7584,Very far,Very far,Very inclined,Very far,Very far,Very far
e4b73032-da32-4405-ad49-e54c67c9e5cd,Very far,Very far,Very far,Very far,Very inclined,Very far
1af9f415-9284-45c6-9cc8-425eb8e0a257,Very far,Very far,Very far,Very far,Inclined,Very far
02ccedf4-14e8-4639-ac41-00013632d6a6,Far,Very far,Far,Very far,Far,Very inclined
819c9baf-a15b-4b25-9917-408e7d15edd3,Very inclined,Very far,Very inclined,Very far,Very inclined,Far
65e16ad1-1b3f-45ce-9b33-7a539be1c1f7,Very far,Very far,Very far,Very far,Very inclined,Very far
cd410f41-44b0-4e54-aaed-f16d63d80d14,Very far,Very far,Very far,Very far,Very inclined,Very far
04a916ed-d1df-48ed-b5d9-c40e09ef47d9,Very far,Very far,Very far,Very far,Very inclined,Very far
bd34e7cc-47c7-4329-851b-31c9ddb3d51c,Far,Very inclined,Inclined,Very inclined,Inclined,Very inclined
bd480a57-9f15-4032-8ff1-3fc8b7c13efc,Very far,Very far,Very inclined,Very far,Far,Very far
92cb8509-4517-4b20-83db-ebea6924e222,Very far,Very far,Very far,Very far,Very inclined,Very far
57a04c46-6ced-4b7a-9916-2606594c07fc,Very far,Very far,Very inclined,Very far,Very far,Very far
b7a397ed-6066-4a94-bd01-a325c68ba67c,Very far,Very far,Very far,Very far,Very inclined,Very far
d6af7b00-d4ab-4a7d-a227-3c82c7bf2302,Very far,Very far,Very far,Very far,Very inclined,
b494af65-4031-4e10-9c36-9a1620e6449d,Far,Very far,Very far,Very far,Very inclined,Very far
9e1251c7-955f-494b-8e1f-65bccbea445b,Very far,Very far,Very far,Very far,Very inclined,Very far
